rh_id,n_ref,not_included,statut_infos,departement,code_departement,ville,code_commune,nom,structure_porteuse,code_postal,adresse,adresse_suite,adresse_full,geo_lat,geo_lon,nature_juridique,type_lieu,rattachement,tel_structure,latitude,longitude,result_label,result_score,result_type,result_id,result_housenumber,result_name,result_street,result_postcode,result_city,result_context,result_citycode,result_oldcitycode,result_oldcity,result_district
RH_fiche_40_,Ref_0040,,,11,=11=,Couiza,,Maison de Services au Public de Couiza,La Poste,11190,Bureau de poste 20 RN Pyrénées,,Bureau de poste 20 RN Pyrénées 11190 Couiza,,,,MSAP,,,42.941516,2.253501,Route des Pyrénées 11190 Couiza,0.53,street,11103_0024,,Route des Pyrénées,,11190,Couiza,"11, Aude, Occitanie",11103,,,
RH_fiche_41_,Ref_0041,,,11,=11=,Villasavary,,Maison de Services au Public de Villasavary,,11150,42 rue du Barry,,42 rue du Barry 11150 Villasavary,,,,MSAP,,04 68 11 93 95,43.219841,2.039813,42 Rue du Barry 11150 Villasavary,0.96,housenumber,11418_0009_00042,42,Rue du Barry,,11150,Villasavary,"11, Aude, Occitanie",11418,,,
RH_fiche_42_,Ref_0042,,,11,=11=,Narbonne,,Maison des Potes,,11100,5 rue Baudin,,5 rue Baudin 11100 Narbonne,,,Association,,,04 68 65 10 55,43.1851,3.005788,5 Rue Baudin 11100 Narbonne,0.97,housenumber,11262_0600_00005,5,Rue Baudin,,11100,Narbonne,"11, Aude, Occitanie",11262,,,
RH_fiche_43_,Ref_0043,,,11,=11=,Narbonne,,L'Arche,,11100,1 rue de l'Orbieu,,1 rue de l'Orbieu 11100 Narbonne,,,Association,,,04 68 41 03 65,43.183984,2.981618,Rue de l’Orbieu 11100 Narbonne,0.91,street,11262_3828,,Rue de l’Orbieu,,11100,Narbonne,"11, Aude, Occitanie",11262,,,
RH_fiche_44_,Ref_0044,,,11,=11=,Narbonne,,Centre Social et Culturel NELSON MANDELA,,11100,4 Promenade Emilie Palomo,,4 Promenade Emilie Palomo 11100 Narbonne,,,,Centre social,,04 68 41 77 26,43.187463,2.985839,4 Promenade Emilie Palomo 11100 Narbonne,0.96,housenumber,11262_rldo2e_00004,4,Promenade Emilie Palomo,,11100,Narbonne,"11, Aude, Occitanie",11262,,,
RH_fiche_45_,Ref_0045,,,11,=11=,Carcassonne,,Ecole de la seconde chance,,11000,82 Rue Barbacane,,82 Rue Barbacane 11000 Carcassonne,,,,,,04 68 25 56 74,43.2084,2.360942,82 Rue Barbacane 11000 Carcassonne,0.97,housenumber,11069_0470_00082,82,Rue Barbacane,,11000,Carcassonne,"11, Aude, Occitanie",11069,,,
RH_fiche_46_,Ref_0046,,,11,=11=,Narbonne,,MAISON DIGITALE DU CIDFF,,11100,37 avenue des Pyrénées,,37 avenue des Pyrénées 11100 Narbonne,,,,,,04.68.42.51.33,43.182851,2.99778,37 Avenue des Pyrenees 11100 Narbonne,0.97,housenumber,11262_4300_00037,37,Avenue des Pyrenees,,11100,Narbonne,"11, Aude, Occitanie",11262,,,
RH_fiche_47_,Ref_0047,,,11,=11=,Narbonne,,LA BULLE DU WEB (WAW-coworking),,11100,12 Boulevard Gambetta,,12 Boulevard Gambetta 11100 Narbonne,,,,,,09 82 38 35 49,43.182401,3.007402,12 Boulevard Gambetta 11100 Narbonne,0.97,housenumber,11262_2130_00012,12,Boulevard Gambetta,,11100,Narbonne,"11, Aude, Occitanie",11262,,,
RH_fiche_48_,Ref_0048,,,11,=11=,Narbonne,,Ecole de la seconde Chance,,11100,1 avenue gustave eiffel,,1 avenue gustave eiffel 11100 Narbonne,,,,,,04 68 40 34 12,43.158696,2.978507,1 Avenue Gustave Eiffel 11100 Narbonne,0.97,housenumber,11262_2377_00001,1,Avenue Gustave Eiffel,,11100,Narbonne,"11, Aude, Occitanie",11262,,,
RH_fiche_49_,Ref_0049,,,11,=11=,Caunes-Minervois,,Maison de services au public Caunes-Minervois,,11160,Allée des Raisins,,Allée des Raisins 11160 Caunes-Minervois,,,,MSAP,,,43.327227,2.523028,Allée des Raisins 11160 Caunes-Minervois,0.95,street,11081_0179,,Allée des Raisins,,11160,Caunes-Minervois,"11, Aude, Occitanie",11081,,,
RH_fiche_50_,Ref_0050,,,11,=11=,Durban-Corbières,,France Services - Durban-Corbières,,11360,6 Rue de la Mairie,,6 Rue de la Mairie 11360 Durban-Corbières,,,,MSAP,,04 68 45 89 00,42.99612,2.81385,6 Rue de la Mairie 11360 Durban-Corbières,0.95,housenumber,11124_0126_00006,6,Rue de la Mairie,,11360,Durban-Corbières,"11, Aude, Occitanie",11124,,,
RH_fiche_51_,Ref_0051,,,11,=11=,Palaja,,Médiathèque Municipale de Palaja,,11570,Rue Lô Moral,,Rue Lô Moral 11570 Palaja,,,,Médiathèque,,04 68 79 85 73,43.174999,2.387838,Rue Lo Moral 11570 Palaja,0.95,street,11272_0077,,Rue Lo Moral,,11570,Palaja,"11, Aude, Occitanie",11272,,,
RH_fiche_52_,Ref_0052,,,11,=11=,Alzonne,,Médiathèque d'Alzonne,,11170,Parc Municipal,,Parc Municipal 11170 Alzonne,,,,Médiathèque,,04 68 76 33 02,43.254495,2.175926,Rue du Parc 11170 Alzonne,0.49,street,11009_0096,,Rue du Parc,,11170,Alzonne,"11, Aude, Occitanie",11009,,,
RH_fiche_53_,Ref_0053,,,11,=11=,Capendu,,Maison de services au public - Piemont d'Alaric,,11700,2 Rue des Figuères,,2 Rue des Figuères 11700 Capendu,,,,MSAP,,04 68 79 87 01,43.184142,2.556949,2 Rue des Figuéres 11700 Capendu,0.95,housenumber,11068_0035_00002,2,Rue des Figuéres,,11700,Capendu,"11, Aude, Occitanie",11068,,,
RH_fiche_54_,Ref_0054,,,11,=11=,Capendu,,Le Chai : Espace culturel,,11700,63 Avenue des Anciens Combattants,,63 Avenue des Anciens Combattants 11700 Capendu,,,Association,,,04 68 79 37 91,43.187031,2.551455,63 Avenue des Anciens Combattants 11700 Capendu,0.96,housenumber,11068_0007_00063,63,Avenue des Anciens Combattants,,11700,Capendu,"11, Aude, Occitanie",11068,,,
RH_fiche_55_,Ref_0055,,,11,=11=,Axat,,Mairie d'Axat,,11140,66 Route Départementale,,66 Route Départementale 11140 Axat,,,collectivité territoriale,,,04 68 20 50 28,42.80471,2.234378,66 Route Departementale 11140 Axat,0.95,housenumber,11021_0105_00066,66,Route Departementale,,11140,Axat,"11, Aude, Occitanie",11021,,,
RH_fiche_56_,Ref_0056,,,11,=11=,Espezel,,Médiathèque du Pays de Sault,,11230,Grand'Rue,,Grand'Rue 11230 Espezel,,,,Médiathèque,,04 68 74 38 93,42.88641,2.045127,Route d’Espezel 11230 Puivert,0.49,street,11303_1pw26y,,Route d’Espezel,,11230,Puivert,"11, Aude, Occitanie",11303,,,
RH_fiche_57_,Ref_0057,,,11,=11=,Chalabre,,Bibliothèque Municipale de Chalabre,,11230,4 Rue des Boulangers,,4 Rue des Boulangers 11230 Chalabre,,,,Bibliothèque,,04 68 69 49 06,42.983704,2.006451,Rue des Boulangers 11230 Chalabre,0.9,street,11091_0040,,Rue des Boulangers,,11230,Chalabre,"11, Aude, Occitanie",11091,,,
RH_fiche_58_,Ref_0058,,,11,=11=,Espéraza,,Médiathèque d'Espéraza,,11260,avenue de la gare,,avenue de la gare 11260 Espéraza,,,,Médiathèque,,04 68 74 13 51,42.935189,2.219577,Avenue de la Gare 11260 Espéraza,0.96,street,11129_0130,,Avenue de la Gare,,11260,Espéraza,"11, Aude, Occitanie",11129,,,
RH_fiche_59_,Ref_0059,,,11,=11=,Villerouge-Termenès,,Maison de services au public POM'S de Villerouge-Termenès,,11330,8 Rue du Couvent,,8 Rue du Couvent 11330 Villerouge-Termenès,,,,MSAP,,04 68 70 00 16,43.007073,2.627163,8 Rue du Couvent 11330 Villerouge-Termenès,0.94,housenumber,11435_0065_00008,8,Rue du Couvent,,11330,Villerouge-Termenès,"11, Aude, Occitanie",11435,,,
RH_fiche_60_,Ref_0060,,,11,=11=,Tuchan,,France Services - Tuchan,,11350,21 rue de la poste,,21 rue de la poste 11350 Tuchan,,,,MSAP,,04 68 42 42 41,42.889375,2.718155,21 Rue de la Poste 11350 Tuchan,0.95,housenumber,11401_0083_00021,21,Rue de la Poste,,11350,Tuchan,"11, Aude, Occitanie",11401,,,
RH_fiche_61_,Ref_0061,,,11,=11=,Trèbes,,Médiathèque de Trèbes,,11800,place de l'hôtel de ville,,place de l'hôtel de ville 11800 Trèbes,,,,Médiathèque,,04 68 78 51 33,43.209491,2.442856,Place de l’Hôtel de Ville 11800 Trèbes,0.95,street,11397_0122,,Place de l’Hôtel de Ville,,11800,Trèbes,"11, Aude, Occitanie",11397,,,
RH_fiche_62_,Ref_0062,,,11,=11=,Saint-Laurent de la Cabrerisse,,Médiathèque de Saint-Laurent de la Cabrerisse,,11220,22 avenue de narbonne,,22 avenue de narbonne 11220 Saint-Laurent de la Cabrerisse,,,,Médiathèque,,04 68 33 39 30,43.08489,2.70105,22 Avenue de Narbonne 11220 Saint-Laurent-de-la-Cabrerisse,0.95,housenumber,11351_0001_00022,22,Avenue de Narbonne,,11220,Saint-Laurent-de-la-Cabrerisse,"11, Aude, Occitanie",11351,,,
RH_fiche_63_,Ref_0063,,,11,=11=,Saint-André de Roquelongue,,Médiathèque Milcom de Saint-André de Roquelongue,,11200,120 rue des écoles,,120 rue des écoles 11200 Saint-André de Roquelongue,,,,Médiathèque,,04 68 45 17 56,43.114915,2.838263,Rue des Écoles 11200 Saint-André-de-Roquelongue,0.88,street,11332_0059,,Rue des Écoles,,11200,Saint-André-de-Roquelongue,"11, Aude, Occitanie",11332,,,
RH_fiche_64_,Ref_0064,,,11,=11=,Limoux,,Espace Public Numérique de la MLIDR11 Limoux,,11300,5 avenue de la gare,,5 avenue de la gare 11300 Limoux,,,,,,04 68 74 70 90,43.05643,2.221904,5 Avenue de la Gare 11300 Limoux,0.96,housenumber,11206_0510_00005,5,Avenue de la Gare,,11300,Limoux,"11, Aude, Occitanie",11206,,,
RH_fiche_65_,Ref_0065,,,11,=11=,Laroque de Fa,,Maison de services au public POM'S Laroque de Fa,,11330,6 rue de la mairie,,6 rue de la mairie 11330 Laroque de Fa,,,,MSAP,,04 68 70 08 27,42.956407,2.564615,Rue de la Mairie 11330 Laroque-de-Fa,0.89,street,11191_0024,,Rue de la Mairie,,11330,Laroque-de-Fa,"11, Aude, Occitanie",11191,,,
RH_fiche_66_,Ref_0066,,,11,=11=,Lanet,,Maison de services au public POM'S de Lanet,,11330,Place de la mairie,,Place de la mairie 11330 Lanet,,,,MSAP,,04 68 70 02 34,42.964192,2.495528,Rue de la Mairie 11330 Lanet,0.76,street,11187_0011,,Rue de la Mairie,,11330,Lanet,"11, Aude, Occitanie",11187,,,
RH_fiche_67_,Ref_0067,,,11,=11=,Mouthoumet,,ADHCo Centre Social,,11330,23 Rue de la Gare,,23 Rue de la Gare 11330 Mouthoumet,,,,Centre social,,04 68 70 18 50,42.960106,2.528877,23 Rue de la Gare 11330 Mouthoumet,0.94,housenumber,11260_0090_00023,23,Rue de la Gare,,11330,Mouthoumet,"11, Aude, Occitanie",11260,,,
RH_fiche_68_,Ref_0068,,,11,=11=,Mouthoumet,,Maison de services au public POM'S de Mouthoumet,,11330,12 Rue de la Gare,,12 Rue de la Gare 11330 Mouthoumet,,,,MSAP,,04 68 42 12 95,42.960196,2.528048,12 Rue de la Gare 11330 Mouthoumet,0.94,housenumber,11260_0090_00012,12,Rue de la Gare,,11330,Mouthoumet,"11, Aude, Occitanie",11260,,,
RH_fiche_69_,Ref_0069,,,11,=11=,Félines-Termenès,,Maison de services au public POM'S de Félines-Termenès,,11330,20 Avenue Termenès,,20 Avenue Termenès 11330 Félines-Termenès,,,,MSAP,,,42.989157,2.615493,20 Avenue du Termenès 11330 Félines-Termenès,0.87,housenumber,11137_0041_00020,20,Avenue du Termenès,,11330,Félines-Termenès,"11, Aude, Occitanie",11137,,,
